Data,DataReferencia,Mediana,DesvioPadrao
2000-01-03,1999,3.03,0.28
2000-01-03,2000,3.0,0.32
2000-01-04,1999,3.03,0.28
2000-01-04,2000,3.0,0.32
2000-01-05,1999,3.08,0.28
2000-01-05,2000,3.0,0.32
2000-01-06,1999,3.08,0.28
2000-01-06,2000,3.0,0.32
2000-01-07,1999,3.08,0.28
2000-01-07,2000,3.0,0.32
2000-01-10,1999,3.08,0.28
2000-01-10,2000,3.0,0.32
2000-01-11,1999,3.08,0.28
2000-01-11,2000,3.0,0.32
2000-01-12,1999,3.08,0.28
2000-01-12,2000,3.0,0.32
2000-01-13,1999,3.08,0.28
2000-01-13,2000,3.0,0.35
2000-01-14,1999,3.1,0.28
2000-01-14,2000,3.0,0.35
2000-01-17,1999,3.1,0.28
2000-01-17,2000,3.0,0.35
2000-01-18,1999,3.1,0.28
2000-01-18,2000,3.0,0.35
2000-01-19,1999,3.1,0.28
2000-01-19,2000,3.0,0.35
2000-01-20,1999,3.1,0.28
2000-01-20,2000,3.0,0.34
2000-01-21,1999,3.1,0.28
2000-01-21,2000,3.0,0.34
2000-01-24,1999,3.1,0.28
2000-01-24,2000,3.0,0.34
2000-01-25,1999,3.1,0.28
2000-01-25,2000,3.0,0.34
2000-01-26,1999,3.1,0.28
2000-01-26,2000,3.0,0.34
2000-01-27,1999,3.1,0.28
2000-01-27,2000,3.0,0.34
2000-01-28,1999,3.1,0.28
2000-01-28,2000,3.0,0.34
2000-01-31,1999,3.1,0.28
2000-01-31,2000,3.0,0.34
2000-02-01,2000,3.0,0.34
2000-02-02,2000,3.0,0.3
2000-02-03,2000,3.0,0.3
2000-02-04,2000,3.0,0.3
2000-02-07,2000,3.0,0.3
2000-02-08,2000,3.0,0.3
2000-02-09,2000,3.0,0.3
2000-02-09,2001,2.95,0.07
2000-02-10,2000,3.0,0.3
2000-02-10,2001,2.95,0.07
2000-02-11,2000,3.0,0.3
2000-02-11,2001,2.9,0.32
2000-02-14,2000,3.0,0.3
2000-02-14,2001,2.95,0.29
2000-02-15,2000,3.0,0.3
2000-02-15,2001,2.95,0.29
2000-02-16,2000,3.0,0.3
2000-02-16,2001,3.0,0.3
2000-02-17,2000,3.0,0.3
2000-02-17,2001,3.0,0.3
2000-02-18,2000,3.0,0.3
2000-02-18,2001,3.0,0.29
2000-02-21,2000,3.0,0.3
2000-02-21,2001,3.0,0.29
2000-02-22,2000,3.0,0.3
2000-02-22,2001,3.0,0.29
2000-02-23,2000,3.0,0.3
2000-02-23,2001,3.0,0.29
2000-02-24,2000,3.0,0.3
2000-02-24,2001,3.0,0.29
2000-02-25,2000,3.0,0.3
2000-02-25,2001,3.0,0.29
2000-02-28,2000,3.0,0.3
2000-02-28,2001,3.0,0.29
2000-02-29,2000,3.0,0.3
2000-02-29,2001,3.0,0.29
2000-03-01,2000,3.0,0.3
2000-03-01,2001,3.0,0.29
2000-03-02,2000,3.0,0.31
2000-03-02,2001,3.0,0.32
2000-03-03,2000,3.0,0.31
2000-03-03,2001,3.0,0.32
2000-03-08,2000,3.0,0.31
2000-03-08,2001,3.0,0.32
2000-03-09,2000,3.0,0.31
2000-03-09,2001,3.0,0.32
2000-03-10,2000,3.0,0.31
2000-03-10,2001,3.0,0.32
2000-03-13,2000,3.0,0.31
2000-03-13,2001,3.0,0.32
2000-03-14,2000,3.0,0.26
2000-03-14,2001,3.0,0.31
2000-03-15,2000,3.0,0.26
2000-03-15,2001,3.0,0.31
2000-03-16,2000,3.0,0.26
2000-03-16,2001,3.0,0.29
2000-03-17,2000,3.0,0.26
2000-03-17,2001,3.0,0.29
2000-03-20,2000,3.0,0.26
2000-03-20,2001,3.0,0.29
2000-03-21,2000,3.0,0.26
2000-03-21,2001,3.0,0.28
2000-03-22,2000,3.0,0.26
2000-03-22,2001,3.0,0.28
2000-03-23,2000,3.0,0.26
2000-03-23,2001,3.0,0.27
2000-03-24,2000,3.0,0.26
2000-03-24,2001,3.0,0.27
2000-03-27,2000,3.0,0.26
2000-03-27,2001,3.0,0.27
2000-03-28,2000,3.0,0.26
2000-03-28,2001,3.0,0.27
2000-03-29,2000,3.0,0.26
2000-03-29,2001,3.0,0.27
2000-03-30,2000,3.0,0.26
2000-03-30,2001,3.0,0.27
2000-03-31,2000,3.0,0.26
2000-03-31,2001,3.0,0.27
2000-04-03,2000,3.0,0.26
2000-04-03,2001,3.0,0.27
2000-04-04,2000,3.0,0.26
2000-04-04,2001,3.0,0.25
2000-04-05,2000,3.0,0.26
2000-04-05,2001,3.0,0.25
2000-04-06,2000,3.0,0.26
2000-04-06,2001,3.0,0.25
2000-04-07,2000,3.0,0.26
2000-04-07,2001,3.0,0.27
2000-04-10,2000,3.0,0.26
2000-04-10,2001,3.0,0.27
2000-04-11,2000,3.0,0.26
2000-04-11,2001,3.0,0.27
2000-04-12,2000,3.0,0.26
2000-04-12,2001,3.0,0.27
2000-04-13,2000,3.0,0.26
2000-04-13,2001,3.0,0.27
2000-04-14,2000,3.0,0.26
2000-04-14,2001,3.0,0.27
2000-04-17,2000,3.0,0.26
2000-04-17,2001,3.0,0.27
2000-04-18,2000,3.0,0.26
2000-04-18,2001,3.0,0.27
2000-04-19,2000,3.0,0.25
2000-04-19,2001,3.0,0.27
2000-04-20,2000,3.0,0.25
2000-04-20,2001,3.0,0.27
2000-04-24,2000,3.0,0.25
2000-04-24,2001,3.0,0.27
2000-04-25,2000,3.0,0.25
2000-04-25,2001,3.0,0.27
2000-04-26,2000,3.02,0.23
2000-04-26,2001,3.0,0.27
