date,median_forecast,std_forecast
2014-01-02,6.01,0.3
2014-01-03,6.03,0.29
2014-01-06,5.92,0.26
2014-01-07,6.01,0.19
2014-01-08,6.01,0.27
2014-01-09,6.01,0.27
2014-01-10,6.01,0.3
2014-01-13,6.0,0.3
2014-01-14,6.0,0.32
2014-01-15,6.0,0.29
2014-01-16,6.01,0.28
2014-01-17,6.02,0.29
2014-01-20,6.02,0.29
2014-01-21,6.02,0.29
2014-01-22,6.01,0.28
2014-01-23,6.02,0.28
2014-01-24,6.0,0.28
2014-01-27,6.0,0.28
2014-01-28,6.01,0.29
2014-01-29,6.05,0.31
2014-01-30,6.0,0.33
2014-01-31,6.08,0.26
2014-02-03,6.12,0.28
2014-02-04,6.12,0.28
2014-02-05,6.11,0.26
2014-02-06,6.16,0.31
2014-02-07,6.03,0.37
2014-02-10,6.04,0.39
2014-02-11,6.07,0.37
2014-02-12,6.04,0.34
2014-02-13,6.03,0.35
2014-02-14,6.15,0.31
2014-02-17,6.12,0.32
2014-02-18,6.14,0.33
2014-02-19,6.18,0.35
2014-02-20,6.18,0.34
2014-02-21,6.17,0.35
2014-02-24,6.16,0.35
2014-02-25,6.16,0.35
2014-02-26,6.12,0.37
2014-02-27,6.13,0.4
2014-02-28,6.07,0.42
2014-03-05,6.07,0.43
2014-03-06,6.08,0.45
2014-03-07,6.09,0.45
2014-03-10,6.1,0.47
2014-03-11,6.39,0.49
2014-03-12,6.37,0.51
2014-03-13,6.31,0.5
2014-03-14,6.3,0.47
2014-03-17,6.25,0.45
2014-03-18,6.28,0.44
2014-03-19,6.26,0.43
2014-03-20,6.26,0.41
2014-03-21,6.28,0.4
2014-03-24,6.23,0.4
2014-03-25,6.21,0.4
2014-03-26,6.18,0.4
2014-03-27,6.08,0.48
2014-03-28,6.05,0.51
2014-03-31,6.01,0.52
2014-04-01,6.02,0.52
2014-04-02,6.19,0.53
2014-04-03,6.13,0.48
2014-04-04,6.15,0.51
2014-04-07,6.07,0.47
2014-04-08,6.04,0.42
2014-04-09,6.14,0.4
2014-04-10,6.14,0.43
2014-04-11,6.14,0.44
2014-04-14,6.15,0.43
2014-04-15,6.07,0.39
2014-04-16,6.1,0.42
2014-04-17,6.11,0.41
2014-04-22,6.02,0.42
2014-04-23,6.01,0.43
2014-04-24,6.03,0.43
2014-04-25,5.96,0.52
2014-04-28,5.78,0.58
2014-04-29,6.31,0.65
2014-04-30,6.06,0.52
2014-05-02,5.99,0.53
