meeting_number,meeting_year,meeting_month,publication_date,decision,url
46,2000,4,2000-04-01,Nota à Imprensa,https://www.bcb.gov.br/controleinflacao/comunicadoscopom/15806
47,2000,5,2000-05-01,Nota à Imprensa,https://www.bcb.gov.br/controleinflacao/comunicadoscopom/15807
48,2000,6,2000-06-01,Nota à Imprensa,https://www.bcb.gov.br/controleinflacao/comunicadoscopom/15808
49,2000,7,2000-07-01,Nota à Imprensa,https://www.bcb.gov.br/controleinflacao/comunicadoscopom/15809
50,2000,8,2000-08-01,Nota à Imprensa,https://www.bcb.gov.br/controleinflacao/comunicadoscopom/15810
51,2000,9,2000-09-01,Nota à Imprensa,https://www.bcb.gov.br/controleinflacao/comunicadoscopom/15811
52,2000,10,2000-10-01,Nota à Imprensa,https://www.bcb.gov.br/controleinflacao/comunicadoscopom/15812
53,2000,11,2000-11-01,Nota à Imprensa,https://www.bcb.gov.br/controleinflacao/comunicadoscopom/15813
54,2000,12,2000-12-01,Nota à Imprensa,https://www.bcb.gov.br/controleinflacao/comunicadoscopom/15814
55,2001,1,2001-01-01,Nota à Imprensa,https://www.bcb.gov.br/controleinflacao/comunicadoscopom/15815
56,2001,2,2001-02-01,Nota à Imprensa,https://www.bcb.gov.br/controleinflacao/comunicadoscopom/15816
57,2001,3,2001-03-01,Nota à Imprensa,https://www.bcb.gov.br/controleinflacao/comunicadoscopom/15817
58,2001,4,2001-04-01,Nota à Imprensa,https://www.bcb.gov.br/controleinflacao/comunicadoscopom/15818
59,2001,5,2001-05-01,Nota à Imprensa,https://www.bcb.gov.br/controleinflacao/comunicadoscopom/15819
60,2001,6,2001-06-01,Nota à Imprensa,https://www.bcb.gov.br/controleinflacao/comunicadoscopom/15820
61,2001,7,2001-07-01,Nota à Imprensa,https://www.bcb.gov.br/controleinflacao/comunicadoscopom/15821
62,2001,8,2001-08-01,Nota à Imprensa,https://www.bcb.gov.br/controleinflacao/comunicadoscopom/15822
63,2001,9,2001-09-01,Nota à Imprensa,https://www.bcb.gov.br/controleinflacao/comunicadoscopom/15823
64,2001,10,2001-10-01,Nota à Imprensa,https://www.bcb.gov.br/controleinflacao/comunicadoscopom/15824
65,2001,11,2001-11-01,Nota à Imprensa,https://www.bcb.gov.br/controleinflacao/comunicadoscopom/15825
66,2001,12,2001-12-01,Nota à Imprensa,https://www.bcb.gov.br/controleinflacao/comunicadoscopom/15826
67,2002,1,2002-01-01,Nota à Imprensa,https://www.bcb.gov.br/controleinflacao/comunicadoscopom/15827
68,2002,2,2002-02-01,Nota à Imprensa,https://www.bcb.gov.br/controleinflacao/comunicadoscopom/15828
69,2002,3,2002-03-01,Nota à Imprensa,https://www.bcb.gov.br/controleinflacao/comunicadoscopom/15829
70,2002,4,2002-04-01,Nota à Imprensa,https://www.bcb.gov.br/controleinflacao/comunicadoscopom/15830
71,2002,5,2002-05-01,Nota à Imprensa,https://www.bcb.gov.br/controleinflacao/comunicadoscopom/15831
72,2002,6,2002-06-01,Nota à Imprensa,https://www.bcb.gov.br/controleinflacao/comunicadoscopom/15832
73,2002,7,2002-07-01,Nota à Imprensa,https://www.bcb.gov.br/controleinflacao/comunicadoscopom/15833
74,2002,8,2002-08-01,Nota à Imprensa,https://www.bcb.gov.br/controleinflacao/comunicadoscopom/15834
75,2002,9,2002-09-01,Nota à Imprensa,https://www.bcb.gov.br/controleinflacao/comunicadoscopom/15835
76,2002,10,2002-10-01,Nota à Imprensa,https://www.bcb.gov.br/controleinflacao/comunicadoscopom/15836
77,2002,10,2002-10-01,Nota à Imprensa,https://www.bcb.gov.br/controleinflacao/comunicadoscopom/15837
78,2002,11,2002-11-01,Nota à Imprensa,https://www.bcb.gov.br/controleinflacao/comunicadoscopom/15838
79,2002,12,2002-12-01,Nota à Imprensa,https://www.bcb.gov.br/controleinflacao/comunicadoscopom/15839
80,2003,1,2003-01-01,Nota à Imprensa,https://www.bcb.gov.br/controleinflacao/comunicadoscopom/15840
81,2003,2,2003-02-01,Nota à Imprensa,https://www.bcb.gov.br/controleinflacao/comunicadoscopom/15841
82,2003,3,2003-03-01,Nota à Imprensa,https://www.bcb.gov.br/controleinflacao/comunicadoscopom/15842
83,2003,4,2003-04-01,Nota à Imprensa,https://www.bcb.gov.br/controleinflacao/comunicadoscopom/15843
84,2003,5,2003-05-01,Nota à Imprensa,https://www.bcb.gov.br/controleinflacao/comunicadoscopom/15844
85,2003,6,2003-06-01,Nota à Imprensa,https://www.bcb.gov.br/controleinflacao/comunicadoscopom/15845
86,2003,7,2003-07-01,Nota à Imprensa,https://www.bcb.gov.br/controleinflacao/comunicadoscopom/15846
