report_year,report_month,release_date
2012,1,2012-01-31
2012,2,2012-02-29
2012,3,2012-03-30
2012,4,2012-04-27
2012,5,2012-05-31
2012,6,2012-06-29
2012,7,2012-07-31
2012,8,2012-08-31
2012,9,2012-09-28
2012,10,2012-10-30
2012,11,2012-11-30
2012,12,2012-12-28
2013,1,2013-01-30
2013,2,2013-02-27
2013,3,2013-03-28
2013,4,2013-04-30
2013,5,2013-05-31
2013,6,2013-06-28
2013,7,2013-07-30
2013,8,2013-08-30
2013,9,2013-09-30
2013,10,2013-10-31
2013,11,2013-11-29
2013,12,2013-12-27
2014,1,2014-01-31
2014,2,2014-02-28
2014,3,2014-03-28
2014,4,2014-04-30
2014,5,2014-05-30
2014,6,2014-06-30
2014,7,2014-07-31
2014,8,2014-08-29
2014,9,2014-09-30
2014,10,2014-10-31
2014,11,2014-11-28
2014,12,2014-12-29
2015,1,2015-01-30
2015,2,2015-02-27
2015,3,2015-03-31
2015,4,2015-04-30
2015,5,2015-05-29
2015,6,2015-06-30
2015,7,2015-07-31
2015,8,2015-08-28
2015,9,2015-09-30
2015,10,2015-10-29
2015,11,2015-11-30
2015,12,2015-12-29
2016,1,2016-01-29
2016,2,2016-02-26
2016,3,2016-03-30
2016,4,2016-04-29
2016,5,2016-05-31
2016,6,2016-06-29
2016,7,2016-07-29
2016,8,2016-08-31
2016,9,2016-09-30
2016,10,2016-10-31
2016,11,2016-11-28
2016,12,2016-12-27
2017,1,2017-01-31
2017,2,2017-02-24
2017,3,2017-03-31
2017,4,2017-04-28
2017,5,2017-05-26
2017,6,2017-06-30
2017,7,2017-07-28
2017,8,2017-08-30
2017,9,2017-09-29
2017,10,2017-10-30
2017,11,2017-11-29
2017,12,2017-12-28
2018,1,2018-01-31
2018,2,2018-02-28
2018,3,2018-03-28
2018,4,2018-04-30
2018,5,2018-05-30
2018,6,2018-06-29
2018,7,2018-07-30
2018,8,2018-08-31
2018,9,2018-09-28
2018,10,2018-10-29
2018,11,2018-11-30
2018,12,2018-12-28
2019,1,2019-01-31
2019,2,2019-02-28
2019,3,2019-03-29
2019,4,2019-04-30
2019,5,2019-05-31
2019,6,2019-06-28
2019,7,2019-07-29
2019,8,2019-08-30
2019,9,2019-09-30
2019,10,2019-10-31
2019,11,2019-11-29
2019,12,2019-12-30
2020,1,2020-01-31
2020,2,2020-02-28
2020,3,2020-03-31
2020,4,2020-04-30
2020,5,2020-05-29
2020,6,2020-06-30
2020,7,2020-07-31
2020,8,2020-08-31
2020,9,2020-09-30
2020,10,2020-10-30
2020,11,2020-11-30
2020,12,2020-12-30
2021,1,2021-01-29
2021,2,2021-02-26
2021,3,2021-03-31
2021,4,2021-04-30
2021,5,2021-05-31
2021,6,2021-06-30
2021,7,2021-07-30
2021,8,2021-08-31
2021,9,2021-09-29
2021,10,2021-10-29
2021,11,2021-11-30
2021,12,2021-12-30
2022,1,2022-01-31
2022,2,2022-02-25
2022,3,2022-05-02
2022,4,2022-05-16
2022,5,2022-05-31
2022,6,2022-07-29
2022,8,2022-08-31
2022,9,2022-09-30
2022,10,2022-10-31
2022,11,2022-11-30
2022,12,2022-12-29
2023,1,2023-01-30
2023,2,2023-02-28
2023,3,2023-03-31
2023,4,2023-04-28
2023,5,2023-05-31
2023,6,2023-06-30
2023,7,2023-07-28
2023,8,2023-08-31
2023,9,2023-09-29
2023,10,2023-11-08
2023,11,2023-12-06
2023,12,2024-01-05
2024,1,2024-02-07
2024,2,2024-03-07
2024,3,2024-04-05
2024,4,2024-05-06
2024,5,2024-05-29
2024,6,2024-06-28
2024,7,2024-07-29
2024,8,2024-08-30
2024,9,2024-09-30
2024,10,2024-11-11
2024,11,2024-11-29
2024,12,2024-12-30
2025,1,2025-01-31
2025,2,2025-03-14
2025,3,2025-04-08
2025,4,2025-04-30
2025,5,2025-05-30
2025,6,2025-06-30
2025,7,2025-07-31
2025,8,2025-08-29
2025,9,2025-09-30
2025,10,2025-10-31
2025,11,2025-11-28
2025,12,2025-12-30
2026,1,2026-01-30
2026,2,2026-02-27
