,median_forecast,mean_forecast,std_forecast,min_forecast,max_forecast,num_respondents
2001-11-07,5.48,5.52,0.58,4.31,6.24,
2001-11-08,5.79,5.67,0.56,4.31,6.27,
2001-11-09,5.53,5.39,0.58,4.12,6.17,
2001-11-12,5.42,5.4,0.53,4.44,6.38,
2001-11-13,5.48,5.43,0.5,4.44,6.38,
2001-11-14,5.53,5.49,0.5,4.44,6.38,
2001-11-15,5.505000000000001,5.465,0.505,4.44,6.38,
2001-11-16,5.48,5.44,0.51,4.44,6.38,
2001-11-19,5.48,5.43,0.51,4.44,6.38,
2001-11-20,5.48,5.43,0.51,4.44,6.38,
2001-11-21,5.48,5.44,0.5,4.44,6.38,
2001-11-22,5.48,5.44,0.52,4.44,6.38,
2001-11-23,5.48,5.45,0.53,4.44,6.38,
2001-11-26,5.48,5.46,0.53,4.44,6.38,
2001-11-27,5.5,5.5,0.57,4.44,7.12,
2001-11-28,5.48,5.51,0.59,4.44,7.33,
2001-11-29,5.52,5.54,0.59,4.46,7.33,
2001-11-30,5.67,5.57,0.59,4.46,7.33,
2001-12-03,5.67,5.56,0.57,4.46,7.01,
2001-12-04,5.67,5.56,0.57,4.46,7.01,
2001-12-05,5.67,5.57,0.57,4.46,7.01,
2001-12-06,5.67,5.57,0.58,4.46,7.01,
2001-12-07,5.67,5.59,0.59,4.46,7.1,
2001-12-10,5.79,5.59,0.58,4.46,7.1,
2001-12-11,5.62,5.56,0.6,4.46,7.1,
2001-12-12,5.22,5.16,0.57,4.05,6.64,
2001-12-13,5.22,5.16,0.57,4.05,6.64,
2001-12-14,5.16,5.12,0.59,3.48,6.64,
2001-12-17,5.16,5.12,0.58,3.48,6.64,
2001-12-18,5.12,5.09,0.59,3.48,6.8,
2001-12-19,5.12,5.11,0.54,4.12,6.8,
2001-12-20,5.07,5.04,0.57,3.87,6.8,
2001-12-21,5.02,5.01,0.58,3.87,6.8,
2001-12-24,5.04,5.0,0.59,3.87,6.8,
2001-12-25,5.0,4.99,0.59,3.87,6.8,
2001-12-26,4.96,4.98,0.59,3.87,6.8,
2001-12-27,4.88,4.94,0.59,3.87,6.8,
2001-12-28,4.78,4.85,0.57,3.76,6.8,
2001-12-31,4.77,4.84,0.57,3.76,6.8,
2002-01-01,4.75,4.824999999999999,0.565,3.76,6.8,
2002-01-02,4.73,4.81,0.56,3.76,6.8,
2002-01-03,4.71,4.8,0.54,3.76,6.64,
2002-01-04,4.69,4.76,0.53,3.76,6.64,
2002-01-07,4.66,4.74,0.48,3.76,6.13,
2002-01-08,4.66,4.76,0.48,3.76,6.13,
2002-01-09,4.65,4.74,0.48,3.76,6.13,
2002-01-10,4.65,4.75,0.49,3.76,6.13,
2002-01-11,4.61,4.72,0.53,3.66,6.48,
2002-01-14,4.61,4.72,0.52,3.66,6.48,
2002-01-15,4.62,4.73,0.52,3.66,6.48,
2002-01-16,4.62,4.73,0.52,3.66,6.48,
2002-01-17,4.62,4.73,0.52,3.79,6.48,
2002-01-18,4.75,4.75,0.51,3.79,6.48,
2002-01-21,4.83,4.74,0.48,3.79,6.48,
2002-01-22,4.83,4.75,0.47,3.79,6.48,
2002-01-23,4.83,4.75,0.47,3.79,6.48,
2002-01-24,4.8,4.75,0.45,3.87,6.48,
2002-01-25,4.77,4.76,0.43,3.87,6.48,
2002-01-28,4.82,4.79,0.45,3.76,6.48,
2002-01-29,4.8,4.76,0.39,3.76,5.56,
2002-01-30,4.82,4.76,0.38,3.76,5.56,
2002-01-31,4.83,4.76,0.37,3.76,5.56,
2002-02-01,4.83,4.77,0.37,3.76,5.56,
2002-02-04,4.8,4.76,0.38,3.76,5.56,
2002-02-05,4.83,4.77,0.37,3.76,5.56,
2002-02-06,4.8,4.76,0.37,3.76,5.56,
2002-02-07,4.8,4.77,0.37,3.76,5.56,
2002-02-08,4.64,4.68,0.39,3.85,5.55,
2002-02-11,4.64,4.66,0.37,3.85,5.55,
2002-02-12,4.64,4.66,0.37,3.85,5.55,
2002-02-13,4.64,4.66,0.37,3.85,5.55,
2002-02-14,4.62,4.65,0.37,3.85,5.55,
2002-02-15,4.62,4.65,0.36,3.85,5.55,
2002-02-18,4.62,4.65,0.36,3.85,5.55,
2002-02-19,4.63,4.64,0.35,3.85,5.55,
2002-02-20,4.63,4.64,0.35,3.85,5.55,
2002-02-21,4.63,4.65,0.35,3.85,5.55,
2002-02-22,4.67,4.67,0.34,3.85,5.55,
2002-02-25,4.67,4.67,0.34,3.85,5.55,
2002-02-26,4.67,4.66,0.33,3.85,5.61,
2002-02-27,4.67,4.68,0.33,3.85,5.61,
2002-02-28,4.72,4.7,0.33,3.85,5.61,
2002-03-01,4.75,4.72,0.3,4.02,5.61,
2002-03-04,4.75,4.72,0.3,4.02,5.61,
2002-03-05,4.75,4.75,0.33,4.02,5.61,
2002-03-06,4.75,4.76,0.34,4.02,5.61,
2002-03-07,4.77,4.78,0.32,4.27,5.61,
2002-03-08,4.76,4.78,0.32,4.27,5.61,
2002-03-11,4.76,4.78,0.31,4.27,5.61,
2002-03-12,4.62,4.71,0.35,4.17,5.66,
2002-03-13,4.7,4.73,0.34,4.17,5.66,
2002-03-14,4.78,4.79,0.36,4.17,5.66,
2002-03-15,4.81,4.82,0.33,4.27,5.66,
2002-03-18,4.8,4.82,0.34,4.27,5.66,
2002-03-19,4.76,4.81,0.35,4.27,5.66,
2002-03-20,4.8,4.81,0.34,4.27,5.66,
2002-03-21,4.81,4.81,0.34,4.27,5.66,
2002-03-22,4.87,4.85,0.34,4.27,5.66,
2002-03-25,4.9,4.91,0.37,4.27,5.92,
2002-03-26,4.9,4.93,0.38,4.27,5.92,
2002-03-27,4.91,4.95,0.39,4.27,5.92,
2002-03-28,4.92,4.94,0.38,4.27,5.92,
2002-03-29,4.92,4.955,0.375,4.27,5.92,
2002-04-01,4.92,4.97,0.37,4.27,5.92,
2002-04-02,4.94,4.98,0.37,4.27,5.92,
2002-04-03,5.01,4.99,0.37,4.27,5.92,
2002-04-04,5.08,5.07,0.4,4.27,5.93,
2002-04-05,5.1,5.1,0.4,4.27,5.93,
2002-04-08,5.1,5.11,0.4,4.27,5.93,
2002-04-09,5.1,5.09,0.39,4.27,5.93,
2002-04-10,4.9,4.91,0.33,4.28,5.69,
2002-04-11,4.9,4.89,0.36,4.07,5.69,
2002-04-12,4.92,4.9,0.36,4.07,5.69,
2002-04-15,4.93,4.92,0.34,4.07,5.69,
2002-04-16,4.92,4.91,0.34,4.07,5.69,
2002-04-17,4.91,4.87,0.33,4.07,5.53,
2002-04-18,4.91,4.86,0.33,4.07,5.53,
2002-04-19,4.9,4.86,0.33,4.07,5.53,
2002-04-22,4.87,4.84,0.35,4.07,5.53,
2002-04-23,4.91,4.85,0.36,4.07,5.64,
2002-04-24,4.92,4.89,0.4,4.07,5.85,
2002-04-25,4.92,4.91,0.39,4.07,5.85,
2002-04-26,4.93,4.91,0.39,4.07,5.85,
2002-04-29,4.92,4.9,0.4,4.07,5.85,
2002-04-30,4.92,4.9,0.4,4.07,5.85,
2002-05-01,4.92,4.9,0.405,4.07,5.85,
2002-05-02,4.92,4.9,0.41,4.07,5.85,
2002-05-03,4.92,4.9,0.41,4.07,5.85,
2002-05-06,4.92,4.89,0.41,4.07,5.85,
2002-05-07,4.92,4.9,0.42,4.11,5.85,
2002-05-08,4.92,4.9,0.42,4.11,5.85,
2002-05-09,4.92,4.9,0.41,4.11,5.68,
2002-05-10,4.41,4.37,0.44,3.35,5.2,
2002-05-13,4.42,4.38,0.44,3.35,5.2,
2002-05-14,4.43,4.38,0.44,3.35,5.23,
2002-05-15,4.42,4.4,0.45,3.35,5.23,
2002-05-16,4.4,4.39,0.45,3.35,5.23,
2002-05-17,4.43,4.41,0.45,3.35,5.23,
2002-05-20,4.43,4.41,0.43,3.48,5.23,
2002-05-21,4.44,4.4,0.43,3.48,5.2,
2002-05-22,4.44,4.4,0.43,3.48,5.2,
2002-05-23,4.43,4.39,0.43,3.48,5.2,
2002-05-24,4.41,4.39,0.42,3.48,5.2,
2002-05-27,4.4,4.38,0.41,3.48,5.2,
