release_date,year,month,n_obs,is_ad_hoc,high_vol_regime,high_mean,low_mean,p00,p11,aic,bic,pct_high,file
2012-01-31,2012,1,2337,False,0,1.0507848260351988e-05,-0.00019803747379987913,0.9766497704835341,0.9445957811811662,-20218.95347351766,-20184.413733510428,0.7060333761232349,/home/lfpazevedo/Documents/Projects/schonfeld-ms-primary-surplus/src/data/processed/regime_analysis/regime_probs_20120131.csv
2012-02-29,2012,2,2356,False,0,-1.2423887205825328e-05,-0.0001734834745147194,0.9767974271709944,0.9448812254701705,-20413.271305457114,-20378.682982188486,0.7050084889643463,/home/lfpazevedo/Documents/Projects/schonfeld-ms-primary-surplus/src/data/processed/regime_analysis/regime_probs_20120229.csv
2012-03-30,2012,3,2378,False,0,-3.6036618685494775e-05,-0.0001732383827127432,0.9771372078577553,0.944492011089717,-20606.49367863636,-20571.849588172856,0.7106812447434819,/home/lfpazevedo/Documents/Projects/schonfeld-ms-primary-surplus/src/data/processed/regime_analysis/regime_probs_20120330.csv
2012-04-27,2012,4,2397,False,0,1.3588960404050322e-08,-0.0002144056664954913,0.9774847488498881,0.9432663938873064,-20766.400194669055,-20731.70835526245,0.720066750104297,/home/lfpazevedo/Documents/Projects/schonfeld-ms-primary-surplus/src/data/processed/regime_analysis/regime_probs_20120427.csv
2012-05-31,2012,5,2420,False,0,3.888255538764916e-06,-0.00023579131991941312,0.9781264647000422,0.9432863917896411,-20984.218046016875,-20949.46890910197,0.7264462809917356,/home/lfpazevedo/Documents/Projects/schonfeld-ms-primary-surplus/src/data/processed/regime_analysis/regime_probs_20120531.csv
2012-06-29,2012,6,2440,False,0,-1.3932972004446505e-05,-0.0001952156284375877,0.9779268851057603,0.9434721384362457,-21197.639144517463,-21162.84062460774,0.7225409836065574,/home/lfpazevedo/Documents/Projects/schonfeld-ms-primary-surplus/src/data/processed/regime_analysis/regime_probs_20120629.csv
2012-07-31,2012,7,2462,False,0,-3.8474766286186615e-05,-0.00018738353889323446,0.9780454072240714,0.9432244468588475,-21397.399014179082,-21362.546638338616,0.7254264825345248,/home/lfpazevedo/Documents/Projects/schonfeld-ms-primary-surplus/src/data/processed/regime_analysis/regime_probs_20120731.csv
2012-08-31,2012,8,2485,False,0,-3.559916672323073e-06,-0.00025000551061204156,0.9791116357644933,0.9431070199433224,-21610.604081169415,-21575.69591353823,0.738430583501006,/home/lfpazevedo/Documents/Projects/schonfeld-ms-primary-surplus/src/data/processed/regime_analysis/regime_probs_20120831.csv
2012-09-28,2012,9,2504,False,0,2.820552660588154e-05,-0.00027490166525195354,0.9793149043995082,0.9421610740689331,-21768.41736451354,-21733.46349612022,0.740814696485623,/home/lfpazevedo/Documents/Projects/schonfeld-ms-primary-surplus/src/data/processed/regime_analysis/regime_probs_20120928.csv
2012-10-30,2012,10,2525,False,0,8.524111879100414e-06,-0.00029890012609124763,0.9787701089649988,0.9409884220190758,-21935.845741096004,-21900.841763045748,0.7401980198019802,/home/lfpazevedo/Documents/Projects/schonfeld-ms-primary-surplus/src/data/processed/regime_analysis/regime_probs_20121030.csv
