Date,Dias Corridos,252(2)(4),360(1)
19/03/2024,1,"11,15","0,00"
19/03/2024,2,"10,94","15,99"
19/03/2024,7,"10,82","11,05"
19/03/2024,8,"10,80","11,62"
19/03/2024,9,"10,79","12,06"
19/03/2024,13,"10,79","9,42"
19/03/2024,14,"10,77","9,85"
19/03/2024,21,"10,74","10,20"
19/03/2024,27,"10,72","10,18"
19/03/2024,28,"10,72","10,37"
19/03/2024,29,"10,72","10,55"
19/03/2024,30,"10,71","10,71"
19/03/2024,31,"10,71","10,87"
19/03/2024,34,"10,71","10,33"
19/03/2024,41,"10,70","10,43"
19/03/2024,42,"10,70","10,55"
19/03/2024,44,"10,70","10,41"
19/03/2024,57,"10,61","10,35"
19/03/2024,59,"10,59","10,51"
19/03/2024,62,"10,58","10,23"
19/03/2024,64,"10,57","10,37"
19/03/2024,73,"10,54","10,30"
19/03/2024,76,"10,53","10,08"
19/03/2024,85,"10,48","10,20"
19/03/2024,87,"10,47","10,31"
19/03/2024,90,"10,46","10,11"
19/03/2024,93,"10,45","10,26"
19/03/2024,94,"10,44","10,31"
19/03/2024,100,"10,42","10,26"
19/03/2024,101,"10,42","10,31"
19/03/2024,104,"10,41","10,14"
19/03/2024,118,"10,34","10,13"
19/03/2024,120,"10,33","10,20"
19/03/2024,126,"10,31","10,16"
19/03/2024,133,"10,29","10,16"
19/03/2024,134,"10,28","10,19"
19/03/2024,135,"10,28","10,22"
19/03/2024,148,"10,23","10,16"
19/03/2024,149,"10,22","10,19"
19/03/2024,150,"10,22","10,22"
19/03/2024,163,"10,17","10,16"
19/03/2024,164,"10,17","10,19"
19/03/2024,167,"10,17","10,08"
19/03/2024,178,"10,13","10,17"
19/03/2024,181,"10,13","10,07"
19/03/2024,183,"10,12","10,12"
19/03/2024,185,"10,12","10,16"
19/03/2024,195,"10,10","10,06"
19/03/2024,196,"10,10","10,08"
19/03/2024,205,"10,08","10,12"
19/03/2024,210,"10,07","10,07"
19/03/2024,211,"10,07","10,09"
19/03/2024,226,"10,05","10,10"
19/03/2024,227,"10,05","10,12"
19/03/2024,239,"10,03","10,07"
19/03/2024,240,"10,02","10,09"
19/03/2024,244,"10,02","9,97"
19/03/2024,255,"10,00","9,97"
19/03/2024,258,"10,00","9,91"
19/03/2024,272,"9,98","9,90"
19/03/2024,274,"9,97","9,93"
19/03/2024,276,"9,97","9,96"
19/03/2024,283,"9,96","9,90"
19/03/2024,286,"9,96","9,84"
19/03/2024,289,"9,95","9,83"
19/03/2024,300,"9,94","9,79"
19/03/2024,302,"9,94","9,82"
19/03/2024,318,"9,92","9,84"
19/03/2024,321,"9,92","9,79"
19/03/2024,330,"9,91","9,82"
19/03/2024,335,"9,91","9,79"
19/03/2024,345,"9,90","9,83"
19/03/2024,346,"9,90","9,84"
19/03/2024,351,"9,89","9,74"
19/03/2024,360,"9,89","9,76"
19/03/2024,363,"9,89","9,72"
19/03/2024,367,"9,88","9,77"
19/03/2024,377,"9,88","9,73"
19/03/2024,378,"9,88","9,74"
19/03/2024,391,"9,87","9,73"
19/03/2024,393,"9,87","9,75"
19/03/2024,406,"9,86","9,68"
19/03/2024,409,"9,86","9,67"
19/03/2024,420,"9,86","9,65"
19/03/2024,422,"9,86","9,67"
19/03/2024,429,"9,85","9,67"
19/03/2024,450,"9,84","9,68"
19/03/2024,456,"9,84","9,67"
19/03/2024,469,"9,84","9,64"
19/03/2024,482,"9,84","9,64"
19/03/2024,483,"9,84","9,65"
19/03/2024,510,"9,84","9,67"
19/03/2024,512,"9,84","9,69"
19/03/2024,514,"9,84","9,71"
19/03/2024,528,"9,85","9,72"
19/03/2024,540,"9,85","9,71"
19/03/2024,545,"9,85","9,70"
19/03/2024,552,"9,85","9,70"
19/03/2024,561,"9,85","9,73"
19/03/2024,570,"9,85","9,75"
19/03/2024,575,"9,85","9,74"
19/03/2024,601,"9,86","9,74"
19/03/2024,608,"9,86","9,75"
19/03/2024,630,"9,86","9,74"
19/03/2024,638,"9,86","9,75"
19/03/2024,639,"9,86","9,76"
19/03/2024,654,"9,86","9,73"
19/03/2024,660,"9,87","9,73"
19/03/2024,667,"9,87","9,74"
19/03/2024,692,"9,89","9,76"
19/03/2024,701,"9,90","9,74"
19/03/2024,720,"9,91","9,75"
19/03/2024,743,"9,93","9,79"
19/03/2024,750,"9,93","9,77"
19/03/2024,757,"9,94","9,78"
19/03/2024,780,"9,95","9,78"
19/03/2024,787,"9,96","9,79"
19/03/2024,811,"9,97","9,77"
19/03/2024,834,"9,98","9,81"
19/03/2024,840,"9,99","9,81"
19/03/2024,870,"10,02","9,86"
19/03/2024,881,"10,03","9,86"
19/03/2024,903,"10,04","9,87"
19/03/2024,926,"10,06","9,91"
19/03/2024,930,"10,06","9,90"
19/03/2024,960,"10,08","9,91"
19/03/2024,972,"10,08","9,91"
19/03/2024,990,"10,09","9,92"
19/03/2024,1021,"10,10","9,90"
19/03/2024,1050,"10,13","9,94"
19/03/2024,1063,"10,14","9,93"
19/03/2024,1080,"10,16","9,96"
19/03/2024,1108,"10,18","9,98"
19/03/2024,1112,"10,18","9,97"
19/03/2024,1140,"10,21","9,99"
19/03/2024,1154,"10,22","10,01"
19/03/2024,1170,"10,23","10,02"
19/03/2024,1199,"10,26","10,06"
19/03/2024,1200,"10,26","10,06"
19/03/2024,1245,"10,30","10,11"
19/03/2024,1291,"10,34","10,16"
19/03/2024,1337,"10,37","10,16"
19/03/2024,1385,"10,40","10,21"
19/03/2024,1428,"10,44","10,25"
19/03/2024,1443,"10,44","10,25"
19/03/2024,1476,"10,47","10,27"
19/03/2024,1518,"10,49","10,28"
19/03/2024,1567,"10,52","10,31"
19/03/2024,1610,"10,54","10,35"
19/03/2024,1658,"10,57","10,37"
19/03/2024,1703,"10,58","10,38"
19/03/2024,1750,"10,60","10,37"
19/03/2024,1794,"10,62","10,39"
19/03/2024,1800,"10,63","10,39"
19/03/2024,1883,"10,67","10,44"
19/03/2024,1931,"10,69","10,46"
19/03/2024,1961,"10,70","10,48"
19/03/2024,1975,"10,71","10,49"
19/03/2024,2068,"10,75","10,52"
19/03/2024,2115,"10,76","10,52"
19/03/2024,2159,"10,78","10,55"
19/03/2024,2162,"10,78","10,54"
19/03/2024,2204,"10,79","10,55"
19/03/2024,2248,"10,80","10,56"
19/03/2024,2295,"10,81","10,57"
19/03/2024,2340,"10,82","10,59"
19/03/2024,2435,"10,84","10,62"
19/03/2024,2480,"10,85","10,62"
19/03/2024,2520,"10,86","10,63"
19/03/2024,2526,"10,86","10,63"
19/03/2024,2613,"10,87","10,63"
19/03/2024,2705,"10,88","10,66"
19/03/2024,2799,"10,90","10,68"
19/03/2024,2845,"10,90","10,68"
19/03/2024,2880,"10,91","10,69"
19/03/2024,2890,"10,91","10,68"
19/03/2024,2981,"10,92","10,69"
19/03/2024,3072,"10,93","10,71"
19/03/2024,3164,"10,94","10,71"
19/03/2024,3212,"10,95","10,72"
19/03/2024,3240,"10,95","10,73"
19/03/2024,3255,"10,95","10,73"
19/03/2024,3345,"10,95","10,73"
19/03/2024,3436,"10,96","10,74"
19/03/2024,3529,"10,96","10,74"
19/03/2024,3576,"10,96","10,74"
19/03/2024,3600,"10,97","10,75"
19/03/2024,3620,"10,97","10,76"
19/03/2024,3709,"10,98","10,76"
19/03/2024,3801,"10,99","10,78"
19/03/2024,3894,"11,00","10,78"
19/03/2024,3941,"11,01","10,78"
19/03/2024,3961,"11,01","10,78"
19/03/2024,3985,"11,01","10,78"
19/03/2024,4074,"11,01","10,78"
19/03/2024,4166,"11,01","10,79"
19/03/2024,4259,"11,01","10,79"
19/03/2024,4306,"11,01","10,78"
19/03/2024,4320,"11,01","10,78"
19/03/2024,4350,"11,01","10,78"
19/03/2024,4440,"11,01","10,77"
19/03/2024,4532,"11,01","10,78"
19/03/2024,4626,"11,01","10,79"
19/03/2024,4672,"11,01","10,78"
19/03/2024,4682,"11,01","10,78"
19/03/2024,4719,"11,01","10,78"
19/03/2024,4805,"11,01","10,78"
19/03/2024,4899,"11,01","10,78"
19/03/2024,4990,"11,01","10,78"
19/03/2024,5039,"11,01","10,78"
19/03/2024,5040,"11,01","10,78"
19/03/2024,5081,"11,01","10,78"
19/03/2024,5172,"11,01","10,77"
19/03/2024,5263,"11,01","10,78"
19/03/2024,5355,"11,01","10,78"
19/03/2024,5400,"11,01","10,78"
19/03/2024,5403,"11,01","10,78"
19/03/2024,5446,"11,01","10,78"
19/03/2024,5536,"11,01","10,78"
19/03/2024,5580,"11,01","10,78"
19/03/2024,5627,"11,01","10,78"
19/03/2024,5720,"11,01","10,78"
19/03/2024,5811,"11,01","10,78"
19/03/2024,5901,"11,01","10,78"
19/03/2024,5993,"11,01","10,79"
19/03/2024,6086,"11,01","10,79"
19/03/2024,6177,"11,01","10,79"
19/03/2024,6266,"11,01","10,78"
19/03/2024,6358,"11,01","10,78"
19/03/2024,6453,"11,01","10,79"
19/03/2024,6546,"11,01","10,78"
19/03/2024,6631,"11,01","10,78"
19/03/2024,6723,"11,01","10,79"
19/03/2024,6817,"11,01","10,79"
19/03/2024,6908,"11,01","10,78"
19/03/2024,6996,"11,01","10,79"
19/03/2024,7090,"11,01","10,79"
19/03/2024,7181,"11,01","10,79"
19/03/2024,7202,"11,01","10,78"
19/03/2024,7272,"11,01","10,78"
19/03/2024,7363,"11,01","10,78"
19/03/2024,7454,"11,01","10,78"
19/03/2024,7547,"11,01","10,78"
19/03/2024,7638,"11,01","10,79"
19/03/2024,7727,"11,01","10,78"
19/03/2024,7819,"11,01","10,79"
19/03/2024,8003,"11,01","10,78"
19/03/2024,8184,"11,01","10,78"
19/03/2024,8368,"11,01","10,78"
19/03/2024,8549,"11,01","10,78"
19/03/2024,8737,"11,01","10,78"
19/03/2024,8917,"11,01","10,78"
