Date,Dias Corridos,252(2)(4),360(1)
06/02/2026,3,"14,90","0,00"
06/02/2026,7,"14,90","15,23"
06/02/2026,12,"14,90","10,43"
06/02/2026,13,"14,90","11,28"
06/02/2026,14,"14,90","12,01"
06/02/2026,19,"14,90","12,17"
06/02/2026,20,"14,90","12,64"
06/02/2026,21,"14,90","13,07"
06/02/2026,24,"14,90","12,27"
06/02/2026,31,"14,86","12,89"
06/02/2026,38,"14,83","13,29"
06/02/2026,39,"14,83","13,50"
06/02/2026,40,"14,82","13,70"
06/02/2026,41,"14,82","13,88"
06/02/2026,42,"14,82","14,06"
06/02/2026,45,"14,82","13,56"
06/02/2026,49,"14,81","14,21"
06/02/2026,52,"14,80","13,76"
06/02/2026,53,"14,80","13,91"
06/02/2026,54,"14,80","14,05"
06/02/2026,60,"14,77","13,65"
06/02/2026,67,"14,74","13,77"
06/02/2026,68,"14,73","13,87"
06/02/2026,69,"14,73","13,98"
06/02/2026,70,"14,72","14,08"
06/02/2026,77,"14,70","13,86"
06/02/2026,81,"14,69","13,67"
06/02/2026,83,"14,68","13,85"
06/02/2026,87,"14,68","13,42"
06/02/2026,90,"14,64","13,65"
06/02/2026,96,"14,60","13,62"
06/02/2026,98,"14,58","13,76"
06/02/2026,102,"14,56","13,60"
06/02/2026,103,"14,55","13,67"
06/02/2026,104,"14,54","13,73"
06/02/2026,112,"14,49","13,82"
06/02/2026,115,"14,48","13,62"
06/02/2026,122,"14,44","13,47"
06/02/2026,129,"14,40","13,50"
06/02/2026,130,"14,39","13,55"
06/02/2026,131,"14,38","13,60"
06/02/2026,132,"14,38","13,65"
06/02/2026,133,"14,37","13,69"
06/02/2026,140,"14,33","13,71"
06/02/2026,143,"14,33","13,55"
06/02/2026,144,"14,32","13,59"
06/02/2026,145,"14,31","13,64"
06/02/2026,150,"14,28","13,56"
06/02/2026,159,"14,23","13,64"
06/02/2026,167,"14,18","13,68"
06/02/2026,174,"14,15","13,68"
06/02/2026,175,"14,14","13,71"
06/02/2026,178,"14,14","13,58"
06/02/2026,180,"14,12","13,64"
06/02/2026,187,"14,07","13,62"
06/02/2026,192,"14,05","13,56"
06/02/2026,202,"13,98","13,62"
06/02/2026,203,"13,98","13,65"
06/02/2026,206,"13,97","13,53"
06/02/2026,207,"13,96","13,56"
06/02/2026,210,"13,93","13,63"
06/02/2026,221,"13,88","13,43"
06/02/2026,222,"13,88","13,46"
06/02/2026,224,"13,86","13,50"
06/02/2026,228,"13,84","13,42"
06/02/2026,236,"13,80","13,43"
06/02/2026,237,"13,79","13,45"
06/02/2026,241,"13,78","13,37"
06/02/2026,250,"13,73","13,31"
06/02/2026,251,"13,72","13,33"
06/02/2026,252,"13,72","13,35"
06/02/2026,264,"13,66","13,28"
06/02/2026,266,"13,65","13,32"
06/02/2026,270,"13,64","13,18"
06/02/2026,283,"13,58","13,13"
06/02/2026,285,"13,56","13,16"
06/02/2026,286,"13,56","13,18"
06/02/2026,297,"13,52","13,04"
06/02/2026,298,"13,51","13,06"
06/02/2026,300,"13,50","13,09"
06/02/2026,312,"13,44","13,02"
06/02/2026,313,"13,43","13,03"
06/02/2026,315,"13,42","13,06"
06/02/2026,325,"13,39","12,92"
06/02/2026,326,"13,38","12,93"
06/02/2026,327,"13,37","12,94"
06/02/2026,332,"13,36","12,85"
06/02/2026,343,"13,31","12,89"
06/02/2026,357,"13,26","12,87"
06/02/2026,360,"13,25","12,81"
06/02/2026,374,"13,21","12,69"
06/02/2026,375,"13,21","12,70"
06/02/2026,376,"13,20","12,71"
06/02/2026,383,"13,18","12,70"
06/02/2026,384,"13,17","12,72"
06/02/2026,385,"13,17","12,73"
06/02/2026,390,"13,16","12,70"
06/02/2026,402,"13,12","12,66"
06/02/2026,418,"13,08","12,62"
06/02/2026,419,"13,07","12,63"
06/02/2026,420,"13,07","12,64"
06/02/2026,432,"13,04","12,61"
06/02/2026,447,"13,00","12,56"
06/02/2026,451,"12,99","12,52"
06/02/2026,465,"12,95","12,51"
06/02/2026,480,"12,92","12,47"
06/02/2026,495,"12,89","12,47"
06/02/2026,510,"12,85","12,47"
06/02/2026,542,"12,80","12,43"
06/02/2026,556,"12,79","12,43"
06/02/2026,558,"12,78","12,45"
06/02/2026,570,"12,77","12,43"
06/02/2026,586,"12,75","12,42"
06/02/2026,593,"12,75","12,42"
06/02/2026,600,"12,74","12,42"
06/02/2026,602,"12,74","12,43"
06/02/2026,614,"12,73","12,39"
06/02/2026,630,"12,71","12,41"
06/02/2026,648,"12,70","12,33"
06/02/2026,661,"12,69","12,32"
06/02/2026,677,"12,68","12,34"
06/02/2026,690,"12,67","12,34"
06/02/2026,696,"12,67","12,33"
06/02/2026,720,"12,67","12,38"
06/02/2026,739,"12,67","12,37"
06/02/2026,740,"12,67","12,38"
06/02/2026,754,"12,67","12,34"
06/02/2026,768,"12,67","12,35"
06/02/2026,780,"12,67","12,35"
06/02/2026,787,"12,67","12,35"
06/02/2026,810,"12,67","12,34"
06/02/2026,829,"12,67","12,31"
06/02/2026,840,"12,67","12,35"
06/02/2026,846,"12,67","12,35"
06/02/2026,866,"12,67","12,33"
06/02/2026,871,"12,67","12,33"
06/02/2026,878,"12,67","12,33"
06/02/2026,900,"12,68","12,36"
06/02/2026,921,"12,69","12,38"
06/02/2026,930,"12,69","12,40"
06/02/2026,938,"12,70","12,42"
06/02/2026,957,"12,70","12,40"
06/02/2026,962,"12,71","12,40"
06/02/2026,969,"12,71","12,40"
06/02/2026,990,"12,72","12,41"
06/02/2026,1014,"12,73","12,41"
06/02/2026,1020,"12,73","12,39"
06/02/2026,1050,"12,75","12,43"
06/02/2026,1061,"12,75","12,39"
06/02/2026,1081,"12,76","12,41"
06/02/2026,1105,"12,78","12,42"
06/02/2026,1110,"12,78","12,42"
06/02/2026,1140,"12,81","12,47"
06/02/2026,1151,"12,81","12,45"
06/02/2026,1172,"12,83","12,47"
06/02/2026,1194,"12,85","12,49"
06/02/2026,1200,"12,85","12,49"
06/02/2026,1242,"12,88","12,53"
06/02/2026,1272,"12,90","12,57"
06/02/2026,1286,"12,91","12,59"
06/02/2026,1333,"12,94","12,61"
06/02/2026,1379,"12,97","12,64"
06/02/2026,1426,"13,00","12,64"
06/02/2026,1440,"13,00","12,65"
06/02/2026,1470,"13,02","12,68"
06/02/2026,1515,"13,04","12,68"
06/02/2026,1559,"13,07","12,71"
06/02/2026,1606,"13,10","12,74"
06/02/2026,1651,"13,12","12,78"
06/02/2026,1685,"13,13","12,81"
06/02/2026,1698,"13,14","12,81"
06/02/2026,1746,"13,17","12,84"
06/02/2026,1776,"13,18","12,87"
06/02/2026,1791,"13,19","12,86"
06/02/2026,1802,"13,20","12,86"
06/02/2026,1837,"13,21","12,88"
06/02/2026,1867,"13,22","12,89"
06/02/2026,1880,"13,23","12,90"
06/02/2026,1924,"13,25","12,90"
06/02/2026,1942,"13,25","12,91"
06/02/2026,1958,"13,26","12,92"
06/02/2026,1971,"13,27","12,92"
06/02/2026,2016,"13,29","12,96"
06/02/2026,2033,"13,29","12,96"
06/02/2026,2049,"13,30","12,98"
06/02/2026,2063,"13,30","12,99"
06/02/2026,2110,"13,33","13,02"
06/02/2026,2156,"13,35","13,04"
06/02/2026,2160,"13,35","13,03"
06/02/2026,2201,"13,36","13,03"
06/02/2026,2292,"13,38","13,06"
06/02/2026,2383,"13,41","13,10"
06/02/2026,2475,"13,43","13,11"
06/02/2026,2520,"13,44","13,14"
06/02/2026,2523,"13,44","13,13"
06/02/2026,2566,"13,44","13,15"
06/02/2026,2656,"13,46","13,15"
06/02/2026,2747,"13,47","13,17"
06/02/2026,2840,"13,48","13,18"
06/02/2026,2880,"13,48","13,18"
06/02/2026,2887,"13,48","13,19"
06/02/2026,2931,"13,49","13,20"
06/02/2026,3020,"13,49","13,19"
06/02/2026,3112,"13,50","13,21"
06/02/2026,3205,"13,50","13,21"
06/02/2026,3240,"13,51","13,21"
06/02/2026,3252,"13,51","13,20"
06/02/2026,3296,"13,51","13,20"
06/02/2026,3385,"13,51","13,20"
06/02/2026,3477,"13,51","13,21"
06/02/2026,3570,"13,51","13,21"
06/02/2026,3601,"13,51","13,20"
06/02/2026,3617,"13,51","13,20"
06/02/2026,3661,"13,52","13,21"
06/02/2026,3751,"13,53","13,20"
06/02/2026,3843,"13,54","13,22"
06/02/2026,3937,"13,54","13,24"
06/02/2026,3960,"13,55","13,24"
06/02/2026,3983,"13,55","13,24"
06/02/2026,4030,"13,55","13,23"
06/02/2026,4116,"13,54","13,23"
06/02/2026,4210,"13,54","13,23"
06/02/2026,4301,"13,53","13,22"
06/02/2026,4322,"13,53","13,22"
06/02/2026,4350,"13,53","13,21"
06/02/2026,4392,"13,53","13,22"
06/02/2026,4483,"13,52","13,21"
06/02/2026,4574,"13,52","13,21"
06/02/2026,4666,"13,51","13,20"
06/02/2026,4680,"13,51","13,20"
06/02/2026,4714,"13,51","13,20"
06/02/2026,4757,"13,51","13,21"
06/02/2026,4847,"13,51","13,20"
06/02/2026,4938,"13,50","13,20"
06/02/2026,5031,"13,50","13,19"
06/02/2026,5040,"13,50","13,20"
06/02/2026,5078,"13,50","13,19"
06/02/2026,5122,"13,50","13,19"
06/02/2026,5212,"13,50","13,20"
